EVENTID|LAT|LONGI|TO_CHAR(STTIME,'YYYYMMDDHH24:MI')|ONSTREET_PENNY|DIRECTION|ADMINCITY|DESCRIPTION|AFFECTEDLANECNT|EVENT_STATUS
968|34.121211|-118.229736|20120622 09:44|SR2|0|Central Los Angeles|1125 - Traffic Hazard|0|2
968|33.796818|-118.107856|20120630 09:57|I405|1|South Los Angeles|1125 - Traffic Hazard|0|2
968|33.795594|-118.098668|20120628 09:37|6921|130|Southern Division|ANIMAL - Live or Dead Animal|0|2
969|33.87283|-118.342071|20120606 09:36|I405|0|South Los Angeles|1183 - Traffic Collision - No Details|0|2
969|34.273715|-118.41167|20120611 09:45|VAN|130|Southern Division|1179 - Traffic Collision - 1141 Rolling|0|2
969|34.039527|-118.080795|20120614 10:11|SR60|3|East Los Angeles|1179 - Traffic Collision - 1141 Rolling|0|2
969|34.06738|-117.5637|20120617 19:04|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
969|34.063988|-117.296244|20120620 17:43|I215|0|San Bernardino|1125 - Traffic Hazard|0|2
969|34.003398|-118.411318|20120621 10:24|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
969|33.974332|-118.080053|20120625 10:08|SB|130|Santa Fe Springs|1125A - Animal Hazard|0|2
969|33.888376|-117.226206|20120618 17:23|IRIS|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
969|33.887526|-118.104486|20120623 10:14|I605|1|Santa Fe Springs|1125 - Traffic Hazard|0|2
970|34.285188|-117.60685|20120602 18:29|MOUNT|130|Rancho Cucamonga|1179 - Traffic Collision - 1141 Rolling|0|2
970|34.237532|-118.266127|20120604 11:32|4444|130|Southern Division|1182 - Traffic Collision - No Injuries|0|2
970|33.856976|-118.284612|20120605 09:44|I110|0|South Los Angeles|1179 - Traffic Collision - 1141 Rolling|0|2
970|34.293189|-116.812242|20120607 17:25|SR18|130|Arrowhead|1182 - Traffic Collision - No Injuries|0|2
970|34.066697|-117.209114|20120605 20:44|I10|3|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
970|34.230363|-118.262061|20120613 10:16|I210|3|Altadena|1179 - Traffic Collision - 1141 Rolling|0|2
970|33.691837|-117.337995|20120613 17:44|I15|1|Riverside|1125 - Traffic Hazard|0|2
970|34.392369|-118.472576|20120608 09:03|SR14|0|Newhall|1125 - Traffic Hazard|0|2
970|34.191153|-117.361313|20120608 16:09|I215|0|San Bernardino|1182 - Traffic Collision - No Injuries|0|2
970|34.16493|-118.382761|20120612 09:34|SR170|1|West Valley|1125 - Traffic Hazard|0|2
970|34.003398|-118.411318|20120614 10:12|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
970|33.930933|-118.368262|20120621 10:24|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
970|34.152708|-118.094575|20120625 10:11|I210|3|Altadena|1183 - Traffic Collision - No Details|0|2
970|34.087219|-117.670146|20120619 17:24|MOUNTAIN|1|Rancho Cucamonga|1183 - Traffic Collision - No Details|0|2
970|33.878212|-117.520847|20120618 17:24|MAGNOLIA|130|Riverside|20002 - Hit and Run - No Injuries|0|2
970|34.019026|-117.739978|20120622 15:46|RIVERSIDE|130|Rancho Cucamonga|1179 - Traffic Collision - 1141 Rolling|0|2
970|34.227018|-118.590687|20120630 09:58|INDEPENDENCE|130|Southern Division|1179 - Traffic Collision - 1141 Rolling|0|2
971|33.928536|-118.280692|20120604 11:32|I105|2|South Los Angeles|1125 - Traffic Hazard|0|2
971|33.983018|-117.335285|20120609 18:29|BLAINE|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
971|34.235024|-118.290519|20120613 10:16|I210|3|Altadena|1179 - Traffic Collision - 1141 Rolling|0|2
971|34.569815|-118.687893|20120616 09:57|I5|0|Newhall|1125 - Traffic Hazard|0|2
971|34.039409|-118.308985|20120619 09:33|1927|130|Central Los Angeles|1182 - Traffic Collision - No Injuries|0|2
971|34.362187|-118.555281|20120629 09:27|I5|1|Newhall|1125 - Traffic Hazard|0|2
971|34.154455|-118.377626|20120626 10:12|US101|3|West Valley|20002 - Hit and Run - No Injuries|0|2
972|34.029586|-118.256152|20120601 09:33|I10|2|Central Los Angeles|1125 - Traffic Hazard|0|2
972|34.064247|-117.296185|20120606 16:37|I215|0|San Bernardino|1125 - Traffic Hazard|0|2
972|34.07774|-117.39895|20120603 19:19|ORCHARD|130|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
972|34.064056|-117.296704|20120608 16:10|I215|1|San Bernardino|1125 - Traffic Hazard|0|2
972|33.813607|-118.167599|20120607 09:23|I405|0|South Los Angeles|1125 - Traffic Hazard|0|2
972|34.160973|-117.338839|20120605 20:47|CAJON|0|San Bernardino|20002 - Hit and Run - No Injuries|0|2
972|33.996973|-117.485458|20120612 17:16|VAN|130|Inland Communications Center|FIRE - Report of Fire|0|2
972|34.289536|-118.467362|20120613 10:17|I405|0|Newhall|1125 - Traffic Hazard|0|2
972|34.148441|-118.0388|20120620 10:05|I210|2|Altadena|1125 - Traffic Hazard|0|2
972|33.8765|-118.078029|20120627 09:35|SR91|3|Santa Fe Springs|1125 - Traffic Hazard|0|2
973|34.135813|-117.227257|20120606 16:37|HIGHLAND|2|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
973|34.067116|-117.440275|20120602 18:34|I10|3|Rancho Cucamonga|1125 - Traffic Hazard|0|2
973|34.028999|-118.012761|20120607 09:24|SR60|2|Santa Fe Springs|1182 - Traffic Collision - No Injuries|0|2
973|34.00468|-117.40026|20120610 18:39|SR60|3|Riverside|1125 - Traffic Hazard|0|2
973|33.930056|-118.368268|20120612 09:37|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
973|33.843857|-117.250354|20120616 17:27|RAMONA|130|Inland Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
973|34.039527|-118.080795|20120614 10:13|SR60|3|East Los Angeles|1179 - Traffic Collision - 1141 Rolling|0|2
973|34.119169|-118.160477|20120621 10:25|SR110|0|Central Los Angeles|1125 - Traffic Hazard|0|2
973|34.03526|-118.149879|20120625 10:11|SR60|3|East Los Angeles|1125 - Traffic Hazard|0|2
973|34.002759|-117.832046|20120623 10:14|SR60|2|Baldwin Park|1125 - Traffic Hazard|0|2
973|34.071887|-117.87237|20120628 09:40|I10|3|Baldwin Park|1125 - Traffic Hazard|0|2
974|34.067801|-117.403095|20120608 16:10|I10|2|San Bernardino|1125 - Traffic Hazard|0|2
974|33.691837|-117.337995|20120617 19:07|I15|1|Riverside|1179 - Traffic Collision - 1141 Rolling|0|2
974|34.070363|-117.435717|20120616 17:28|VALLEY|130|Inland Communications Center|20002 - Hit and Run - No Injuries|0|2
974|33.916738|-117.296304|20120612 17:18|ALESSANDRO|130|Riverside|20002 - Hit and Run - No Injuries|0|2
974|34.106651|-117.881465|20120611 09:47|ARROW|130|Baldwin Park|1182 - Traffic Collision - No Injuries|0|2
974|34.069124|-117.352952|20120614 17:26|I10|3|San Bernardino|1125 - Traffic Hazard|0|2
974|34.063784|-118.247593|20120614 10:13|SR110|1|Central Los Angeles|1125A - Animal Hazard|0|2
974|34.072489|-117.611009|20120618 17:25|INLAND|2|Rancho Cucamonga|1182 - Traffic Collision - No Injuries|0|2
