EVENTID|LAT|LONGI|TO_CHAR(STTIME,'YYYYMMDDHH24:MI')|ONSTREET_PENNY|DIRECTION|ADMINCITY|DESCRIPTION|AFFECTEDLANECNT|EVENT_STATUS
13|33.917426|-117.927353|20120601 01:01|BONITA|130|Orange County Communications Center|1125 - Traffic Hazard|0|2
14|33.917422|-117.933006|20120601 01:02|IMPERIAL|130|Orange County Communications Center|1125 - Traffic Hazard|0|2
14|34.121471|-117.513667|20120605 01:11|I15|0|Inland Communications Center|CLOSURE - Closure of a Road|0|2
15|33.730247|-117.989257|20120606 01:24|EDINGER|130|Orange County Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
16|34.024961|-117.729588|20120605 01:19|SR60|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
16|33.730247|-117.989257|20120606 01:25|BEACH|130|Orange County Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
16|33.815713|-117.915333|20120601 01:09|I5|0|Westminster|1182 - Traffic Collision - No Injuries|0|2
18|33.768953|-117.805625|20120609 01:00|HEWES|130|Santa Ana|1125 - Traffic Hazard|0|2
18|33.858871|-117.261371|20120605 01:44|HARVILL|130|Riverside|CFIRE - Car Fire|0|2
19|33.868243|-117.759007|20120609 01:05|EB|130|Santa Ana|1125 - Traffic Hazard|0|2
24|33.853794|-117.909586|20120609 01:12|SR91|2|Westminster|1183 - Traffic Collision - No Details|0|2
27|34.106313|-117.532342|20120605 02:17|I15|1|Rancho Cucamonga|1125 - Traffic Hazard|0|2
28|33.395293|-117.593114|20120604 01:45|I5|1|Capistrano|1125 - Traffic Hazard|0|2
30|33.732872|-117.989293|20120605 02:24|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
30|34.724914|-116.0613|20120605 02:44|WB|130|Barstow|1183 - Traffic Collision - No Details|0|2
30|33.580153|-117.671856|20120606 02:24|OSO|130|Capistrano|1182 - Traffic Collision - No Injuries|0|2
32|33.939143|-117.13929|20120605 02:58|SR60|2|Riverside|1125 - Traffic Hazard|0|2
36|33.985214|-117.367681|20120605 04:27|3RD|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
37|33.836937|-117.524466|20120605 04:30|ONTARIO|130|Riverside|1125A - Animal Hazard|0|2
38|34.217294|-117.291186|20120605 04:37|SR18|130|Arrowhead|1125 - Traffic Hazard|0|2
39|33.768011|-117.867382|20120609 02:02|I5|0|Santa Ana|1183 - Traffic Collision - No Details|0|2
39|33.945807|-117.29556|20120607 01:04|I215|0|Riverside|FIRE - Report of Fire|0|2
41|33.759764|-117.831096|20120604 02:51|SR55|1|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
42|33.708586|-117.851849|20120608 05:29|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
42|33.59814|-117.676303|20120606 03:00|I5|0|Capistrano|1125 - Traffic Hazard|0|2
42|33.8613|-117.877343|20120601 03:19|SR57|1|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
44|33.695833|-117.935049|20120608 05:51|I405|0|Westminster|1125 - Traffic Hazard|0|2
45|33.881942|-117.514321|20120606 01:11|MCKINLEY|130|Riverside|1183 - Traffic Collision - No Details|0|2
45|33.860412|-117.9876|20120610 01:13|I5|1|Westminster|1125 - Traffic Hazard|0|2
46|33.877838|-117.852772|20120607 04:53|PLACENTIA|130|Santa Ana|CFIRE - Car Fire|0|2
46|33.844095|-117.825742|20120606 03:47|SR55|0|Santa Ana|1125 - Traffic Hazard|0|2
46|33.85407|-117.946129|20120608 06:03|SR91|2|Westminster|1125 - Traffic Hazard|0|2
47|34.077386|-117.200098|20120607 01:28|SR210|3|San Bernardino|1125 - Traffic Hazard|0|2
47|33.774452|-117.906056|20120608 06:05|HASTER|130|Orange County Communications Center|1182 - Traffic Collision - No Injuries|0|2
47|33.715937|-117.966788|20120609 02:24|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
47|33.580154|-117.671544|20120607 05:44|I5|0|Capistrano|1182 - Traffic Collision - No Injuries|0|2
48|33.942505|-117.278925|20120605 05:36|SR60|2|Riverside|1125 - Traffic Hazard|0|2
48|33.520543|-117.665822|20120606 04:12|I5|1|Capistrano|1182 - Traffic Collision - No Injuries|0|2
48|33.690342|-117.869475|20120605 04:41|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
49|33.438995|-117.622237|20120604 04:52|I5|0|Capistrano|1125 - Traffic Hazard|0|2
49|33.774983|-118.085807|20120608 06:09|I405|0|Westminster|1182 - Traffic Collision - No Injuries|0|2
50|34.030738|-117.593224|20120620 01:43|SR60|3|Rancho Cucamonga|1125 - Traffic Hazard|0|2
50|34.236547|-117.425119|20120613 01:32|I15|1|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
50|34.106366|-117.53708|20120606 01:16|FOOTHILL|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
50|33.744626|-118.004438|20120606 04:53|I405|0|Westminster|1125 - Traffic Hazard|0|2
50|33.759826|-117.92021|20120605 04:59|HARBOR|130|Orange County Communications Center|FIRE - Report of Fire|0|2
51|34.068416|-117.374729|20120620 01:43|I10|2|San Bernardino|1182 - Traffic Collision - No Injuries|0|2
51|33.835003|-117.835569|20120607 06:03|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
51|33.795606|-118.089666|20120606 05:47|LACC|130|Orange County Communications Center|20002 - Hit and Run - No Injuries|0|2
51|33.85381|-117.906691|20120605 05:01|SR91|2|Westminster|1125 - Traffic Hazard|0|2
51|33.49162|-117.66203|20120604 05:19|I5|1|Capistrano|1125 - Traffic Hazard|0|2
52|34.066838|-117.45379|20120619 01:12|I10|2|Rancho Cucamonga|CFIRE - Car Fire|0|2
52|33.657578|-117.778042|20120601 04:21|I405|1|Santa Ana|1125 - Traffic Hazard|0|2
52|34.121471|-117.513667|20120604 01:00|I15|0|Inland Communications Center|CLOSURE - Closure of a Road|0|2
53|34.067247|-117.435678|20120619 01:12|I10|2|Rancho Cucamonga|CFIRE - Car Fire|0|2
53|33.83788|-117.87623|20120607 06:07|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
53|33.854147|-117.889259|20120601 04:22|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
53|33.690342|-117.869475|20120606 06:19|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
53|33.938707|-117.877157|20120608 06:22|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
54|34.081951|-117.710008|20120619 01:12|I10|3|Rancho Cucamonga|1182 - Traffic Collision - No Injuries|0|2
54|33.810253|-117.831994|20120607 06:07|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
54|34.067317|-117.335779|20120601 01:09|I10|2|San Bernardino|1183 - Traffic Collision - No Details|0|2
54|33.763715|-117.972386|20120604 05:31|MAGNOLIA|130|Westminster|1182 - Traffic Collision - No Injuries|0|2
54|34.249286|-117.442224|20120613 01:49|I15|0|San Bernardino|1125 - Traffic Hazard|0|2
55|33.787858|-117.831037|20120607 06:07|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
55|33.886397|-117.517843|20120612 01:06|SR91|3|Riverside|1125 - Traffic Hazard|0|2
55|34.106366|-117.53708|20120606 01:21|FOOTHILL|130|Inland Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
55|33.709917|-117.782376|20120604 05:35|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
55|33.852975|-117.973712|20120608 06:26|MAGNOLIA|130|Westminster|1179 - Traffic Collision - 1141 Rolling|0|2
55|33.657879|-117.777741|20120605 05:38|I405|0|Santa Ana|1125 - Traffic Hazard|0|2
56|33.84935|-117.976124|20120607 06:11|MAGNOLIA|0|Westminster|20002 - Hit and Run - No Injuries|0|2
56|33.725621|-117.803943|20120606 06:22|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
56|34.072424|-117.482144|20120614 01:35|14873|130|Rancho Cucamonga|1125 - Traffic Hazard|0|2
56|33.580324|-117.721957|20120610 01:39|SR73|1|Capistrano|1183 - Traffic Collision - No Details|0|2
57|33.418622|-117.605009|20120601 05:12|I5|1|Capistrano|1125 - Traffic Hazard|0|2
58|33.855933|-117.78675|20120607 06:16|SR91|3|Santa Ana|1125 - Traffic Hazard|0|2
58|33.774587|-118.074823|20120610 01:44|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
58|34.024187|-117.558426|20120601 01:16|SR60|3|Rancho Cucamonga|20002 - Hit and Run - No Injuries|0|2
58|33.859174|-117.876371|20120604 06:06|SR57|0|Santa Ana|1125 - Traffic Hazard|0|2
58|34.067508|-117.593351|20120604 01:24|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
59|34.066838|-117.45379|20120619 01:22|I10|2|Rancho Cucamonga|CFIRE - Car Fire|0|2
59|34.021903|-117.550065|20120601 01:17|SR60|3|Riverside|1183 - Traffic Collision - No Details|0|2
59|33.409058|-117.600171|20120605 06:17|I5|1|Capistrano|CFIRE - Car Fire|0|2
59|33.898573|-117.55999|20120613 02:15|I15|1|Riverside|1144 - Fatality|0|2
60|34.104141|-117.431514|20120607 02:02|FONTANA|130|San Bernardino|ANIMAL - Live or Dead Animal|0|2
60|33.606557|-117.694148|20120607 06:19|I5|1|Capistrano|1125 - Traffic Hazard|0|2
60|33.774877|-118.086325|20120608 07:04|I405|1|Westminster|1125 - Traffic Hazard|0|2
60|33.645147|-117.735256|20120606 06:37|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
60|33.749456|-118.010632|20120604 06:12|I405|1|Westminster|1125 - Traffic Hazard|0|2
60|33.677638|-117.758035|20120605 06:22|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
61|33.677318|-117.881909|20120607 06:21|SR55|1|Santa Ana|ANIMAL - Live or Dead Animal|0|2
62|33.910785|-117.883678|20120604 06:33|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
62|33.395293|-117.593114|20120605 06:29|I5|1|Capistrano|1125 - Traffic Hazard|0|2
62|33.737025|-117.823226|20120601 05:39|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
62|33.787929|-117.879783|20120608 07:09|SR57|0|Santa Ana|1125 - Traffic Hazard|0|2
63|33.705502|-117.954316|20120604 06:34|I405|0|Westminster|1125 - Traffic Hazard|0|2
63|33.740756|-117.833686|20120607 06:32|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
64|33.886327|-117.549785|20120619 01:40|PARKRIDGE|130|Inland Communications Center|1125 - Traffic Hazard|0|2
64|33.638766|-117.730179|20120601 05:42|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
64|33.870303|-117.744438|20120604 06:36|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
65|33.7495|-117.181378|20120622 01:16|25527|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
65|34.047003|-117.308386|20120614 02:02|SB|130|San Bernardino|1125 - Traffic Hazard|0|2
65|33.835271|-117.941083|20120604 06:39|I5|1|Westminster|1125 - Traffic Hazard|0|2
65|33.838474|-117.834513|20120602 02:28|SR55|1|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
65|33.868353|-117.759915|20120609 03:05|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
65|33.737025|-117.823226|20120601 05:42|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
65|33.878191|-117.880466|20120605 06:42|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
65|33.872219|-117.686762|20120606 06:47|SR91|3|Santa Ana|1125 - Traffic Hazard|0|2
66|33.744626|-118.004438|20120607 06:41|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
66|33.740594|-117.833683|20120601 05:48|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
66|33.765971|-117.960067|20120604 06:40|BROOKHURST|130|Westminster|1125 - Traffic Hazard|0|2
66|33.996628|-117.364697|20120614 02:05|SR60|3|Riverside|1125 - Traffic Hazard|0|2
67|34.132866|-117.379187|20120607 02:30|LILAC|0|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
67|33.727885|-117.806911|20120605 06:57|TUSTIN|130|Santa Ana|1125 - Traffic Hazard|0|2
67|33.645147|-117.735256|20120606 06:56|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
68|33.855933|-117.78675|20120604 06:50|SR91|3|Santa Ana|1125 - Traffic Hazard|0|2
68|33.677512|-117.758158|20120606 07:01|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
68|33.792416|-117.228721|20120601 01:29|I215|0|Riverside|1183 - Traffic Collision - No Details|0|2
68|33.851058|-117.814445|20120605 07:04|SR91|3|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
69|33.767735|-117.920326|20120608 07:49|SR22|2|Westminster|1183 - Traffic Collision - No Details|0|2
69|33.849968|-117.875909|20120607 06:55|SR91|3|Santa Ana|FIRE - Report of Fire|0|2
70|33.810253|-117.831994|20120608 07:55|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
70|33.989737|-117.275236|20120608 01:57|BOX|130|Riverside|1179 - Traffic Collision - 1141 Rolling|0|2
71|34.106366|-117.53708|20120614 02:23|FOOTHILL|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
71|33.866449|-117.998125|20120604 07:07|I5|0|Westminster|1125 - Traffic Hazard|0|2
71|33.823294|-117.716666|20120608 08:00|SR241|1|Santa Ana|ANIMAL - Live or Dead Animal|0|2
71|34.361922|-117.433261|20120601 01:39|I15|0|San Bernardino|WW - Wrong Way Driver|0|2
71|33.663284|-117.794993|20120605 07:21|I405|1|Santa Ana|1125 - Traffic Hazard|0|2
71|33.740655|-117.833865|20120601 06:00|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
71|33.83957|-117.976015|20120606 07:04|MAGNOLIA|0|Orange County Communications Center|FIRE - Report of Fire|0|2
72|34.067332|-117.549273|20120623 01:02|I10|2|Rancho Cucamonga|1179 - Traffic Collision - 1141 Rolling|0|2
72|34.78609|-114.584843|20120612 01:33|EB|130|Needles|1183 - Traffic Collision - No Details|0|2
72|34.030647|-117.628451|20120605 06:02|SR60|3|Rancho Cucamonga|1182 - Traffic Collision - No Injuries|0|2
72|33.847848|-117.855382|20120609 04:15|SR91|2|Santa Ana|1183 - Traffic Collision - No Details|0|2
72|33.520543|-117.665822|20120601 06:13|I5|1|Capistrano|1125 - Traffic Hazard|0|2
72|33.73635|-117.994708|20120604 07:08|I405|1|Westminster|1125 - Traffic Hazard|0|2
73|33.501942|-117.66017|20120605 07:26|ORTEGA|130|Orange County Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
73|33.701343|-117.858953|20120604 07:11|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
74|33.755119|-118.024513|20120604 07:11|14231|130|Orange County Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
74|34.135733|-117.192047|20120608 02:05|HIGHLAND|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
74|33.767761|-117.867387|20120601 06:23|I5|1|Santa Ana|1183 - Traffic Collision - No Details|0|2
74|34.064987|-117.31369|20120605 06:04|I10|3|San Bernardino|1125 - Traffic Hazard|0|2
74|33.778405|-117.867246|20120605 07:26|SR22|3|Santa Ana|1125 - Traffic Hazard|0|2
74|33.695162|-117.934093|20120608 08:12|I405|1|Santa Ana|1125 - Traffic Hazard|0|2
75|33.889062|-117.880403|20120604 07:17|SR57|0|Santa Ana|1125 - Traffic Hazard|0|2
75|34.017759|-117.52819|20120620 02:14|SR60|2|Riverside|1179 - Traffic Collision - 1141 Rolling|0|2
76|34.017759|-117.52819|20120620 02:14|SR60|2|Riverside|1183 - Traffic Collision - No Details|0|2
76|34.124891|-117.217945|20120623 01:07|26866|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
76|33.765853|-117.954981|20120606 07:25|SR22|2|Westminster|23114 - Objects Flying From Vehicle|0|2
76|33.784189|-118.09136|20120605 07:32|I405|0|Westminster|1125 - Traffic Hazard|0|2
76|33.878369|-117.657569|20120609 04:48|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
77|33.774587|-118.074823|20120606 07:29|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
77|33.889061|-117.880673|20120605 07:34|SR57|1|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
77|34.066733|-117.243669|20120602 01:00|I10|3|San Bernardino|1183 - Traffic Collision - No Details|0|2
78|34.028824|-117.575883|20120620 02:16|SR60|2|Rancho Cucamonga|1179 - Traffic Collision - 1141 Rolling|0|2
78|34.082212|-117.698222|20120623 01:08|I10|3|Rancho Cucamonga|CLOSURE - Closure of a Road|0|2
78|34.104534|-117.301959|20120607 03:01|I215|0|San Bernardino|1125 - Traffic Hazard|0|2
78|34.3118|-117.47491|20120612 01:45|I15|1|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
78|33.767735|-117.920326|20120606 07:32|SR22|2|Westminster|1183 - Traffic Collision - No Details|0|2
78|33.7339|-117.833657|20120604 07:28|SR55|0|Santa Ana|1125 - Traffic Hazard|0|2
78|33.854601|-117.790482|20120609 05:13|SR91|3|Santa Ana|23114 - Objects Flying From Vehicle|0|2
78|33.673616|-117.88609|20120607 07:38|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
78|33.91474|-117.4419|20120611 02:18|VAN|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
79|34.134981|-117.61622|20120611 02:18|SR210|3|Rancho Cucamonga|1179 - Traffic Collision - 1141 Rolling|0|2
79|33.856589|-117.980043|20120601 06:53|SR91|2|Westminster|1125 - Traffic Hazard|0|2
79|33.778918|-117.883735|20120609 05:34|BRISTOL|0|Orange County Communications Center|FIRE - Report of Fire|0|2
80|34.070107|-117.48883|20120614 02:48|CHERRY|130|Rancho Cucamonga|20002 - Hit and Run - No Injuries|0|2
80|33.832271|-117.932057|20120604 07:32|I5|1|Westminster|1125 - Traffic Hazard|0|2
80|33.779077|-117.883573|20120609 05:36|BRISTOL|0|Orange County Communications Center|FIRE - Report of Fire|0|2
80|33.773408|-118.03908|20120601 06:59|I405|0|Westminster|1182 - Traffic Collision - No Injuries|0|2
80|33.767735|-117.920326|20120607 07:42|SR22|2|Westminster|1183 - Traffic Collision - No Details|0|2
80|34.030185|-117.680682|20120605 06:09|SR60|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
80|33.59814|-117.676303|20120605 07:43|I5|0|Capistrano|1125 - Traffic Hazard|0|2
80|33.614526|-117.586598|20120608 08:20|VIA|130|Capistrano|1179 - Traffic Collision - 1141 Rolling|0|2
81|34.121471|-117.514183|20120615 06:00|I15|1|Rancho Cucamonga|CLOSURE - Closure of a Road|0|2
81|33.776647|-117.839957|20120604 07:33|SR22|2|Santa Ana|1125 - Traffic Hazard|0|2
81|33.757315|-117.831309|20120609 05:41|17TH|3|Santa Ana|ANIMAL - Live or Dead Animal|0|2
81|33.865991|-117.713535|20120602 03:09|SR241|0|Santa Ana|1125 - Traffic Hazard|0|2
81|33.853795|-117.963622|20120607 07:50|SR91|2|Westminster|1125 - Traffic Hazard|0|2
81|33.909063|-117.281087|20120605 06:09|I215|1|Riverside|1125 - Traffic Hazard|0|2
81|33.759868|-117.831088|20120608 08:26|SR55|1|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
82|33.818124|-117.918181|20120605 07:46|I5|1|Westminster|1125 - Traffic Hazard|0|2
82|33.89727|-117.487505|20120604 02:13|SR91|3|Riverside|1125 - Traffic Hazard|0|2
83|34.103849|-117.514147|20120624 01:04|8221|130|Rancho Cucamonga|20002 - Hit and Run - No Injuries|0|2
83|33.677318|-117.881909|20120607 07:59|SR55|1|Santa Ana|1183 - Traffic Collision - No Details|0|2
83|33.866788|-117.711472|20120606 07:42|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
83|33.583637|-117.630971|20120604 07:39|ANTONIO|130|Capistrano|1179 - Traffic Collision - 1141 Rolling|0|2
83|33.7756|-117.853082|20120608 08:27|SR22|2|Santa Ana|1125 - Traffic Hazard|0|2
83|33.755099|-117.851836|20120609 05:46|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
84|33.787858|-117.831037|20120608 08:28|SR55|1|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
84|33.687803|-117.911482|20120605 07:55|I405|1|Santa Ana|1125 - Traffic Hazard|0|2
84|33.7339|-117.833657|20120604 07:40|SR55|0|Santa Ana|1125 - Traffic Hazard|0|2
85|34.011458|-117.733912|20120624 01:05|SR71|1|Rancho Cucamonga|1182 - Traffic Collision - No Injuries|0|2
85|33.8613|-117.877343|20120607 08:05|ORANGETHORPE|3|Santa Ana|20002 - Hit and Run - No Injuries|0|2
85|33.719923|-117.971941|20120606 07:44|I405|1|Westminster|1125 - Traffic Hazard|0|2
85|33.889061|-117.880673|20120605 07:57|SR57|1|Santa Ana|1183 - Traffic Collision - No Details|0|2
85|34.642249|-118.153126|20120614 01:09|SR14|0|Antelope Valley|1179 - Traffic Collision - 1141 Rolling|0|2
86|34.642249|-118.153126|20120614 01:11|SR14|0|Antelope Valley|1183 - Traffic Collision - No Details|0|2
86|33.925323|-117.880276|20120606 07:44|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
86|34.190956|-117.36144|20120609 01:30|I215|1|San Bernardino|FIRE - Report of Fire|0|2
87|33.897845|-118.029056|20120621 01:00|VALLEY|130|Southern Division|1166 - Defective Traffic Signals or Stop Signs|0|2
87|33.687648|-117.903855|20120607 08:07|I405|1|Santa Ana|ANIMAL - Live or Dead Animal|0|2
87|33.542474|-117.673661|20120606 07:50|I5|0|Capistrano|1125 - Traffic Hazard|0|2
87|33.612533|-117.696182|20120604 07:48|LOS|130|Orange County Communications Center|ANIMAL - Live or Dead Animal|0|2
87|34.016974|-117.465398|20120611 02:26|PYRITE|130|Riverside|20002 - Hit and Run - No Injuries|0|2
88|34.145388|-117.317105|20120624 01:07|SR210|3|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
88|34.033079|-117.13882|20120607 03:45|I10|2|San Bernardino|1125 - Traffic Hazard|0|2
88|33.689072|-117.919367|20120608 08:30|I405|1|Santa Ana|1125 - Traffic Hazard|0|2
88|33.8543|-117.88935|20120607 08:08|SR91|3|Westminster|1182 - Traffic Collision - No Injuries|0|2
89|33.901835|-118.372121|20120621 01:03|ROSECRANS|3|Southern Division|1182 - Traffic Collision - No Injuries|0|2
89|34.063627|-117.274151|20120624 01:08|WATERMAN|0|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
89|33.858793|-118.034067|20120607 08:11|SR91|2|Westminster|1125 - Traffic Hazard|0|2
89|33.559293|-117.672826|20120605 08:07|I5|0|Capistrano|1125 - Traffic Hazard|0|2
89|33.759868|-117.831088|20120608 08:31|SR55|1|Santa Ana|20002 - Hit and Run - No Injuries|0|2
89|33.85972|-117.889344|20120601 07:31|ORANGETHORPE|2|Orange County Communications Center|1183 - Traffic Collision - No Details|0|2
89|33.870303|-117.744438|20120604 07:50|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
90|34.187676|-118.446515|20120614 01:16|GILMORE|130|Southern Division|FIRE - Report of Fire|0|2
90|33.762099|-117.472409|20120624 01:09|I15|1|Riverside|1182 - Traffic Collision - No Injuries|0|2
90|33.847848|-117.855382|20120601 07:42|SR91|2|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
90|34.067247|-117.435678|20120613 03:32|I10|2|Rancho Cucamonga|FIRE - Report of Fire|0|2
90|33.925323|-117.880276|20120606 07:50|SR57|1|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
90|33.910785|-117.883678|20120607 08:12|SR57|1|Santa Ana|FIRE - Report of Fire|0|2
91|33.853956|-117.906694|20120607 08:15|SR91|3|Westminster|1182 - Traffic Collision - No Injuries|0|2
91|34.070539|-117.61115|20120611 02:41|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
91|33.784051|-117.871182|20120609 06:58|PALMYRA|3|Orange County Communications Center|1183 - Traffic Collision - No Details|0|2
91|34.0675|-117.545046|20120607 03:54|I15|1|Rancho Cucamonga|1125 - Traffic Hazard|0|2
91|33.815384|-117.915334|20120605 08:08|I5|1|Westminster|1125 - Traffic Hazard|0|2
91|33.688107|-117.910475|20120604 07:50|FAIRVIEW|130|Santa Ana|1125 - Traffic Hazard|0|2
91|33.850791|-117.814229|20120601 07:42|SR91|2|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
91|33.886699|-117.564612|20120601 02:16|RINCON|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
91|33.700586|-117.870895|20120606 07:53|318|130|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
92|34.066474|-117.226172|20120616 01:37|I10|2|San Bernardino|20001 - Hit and Run W/ Injuries|0|2
92|33.806194|-118.081517|20120606 07:53|I605|1|Westminster|1179 - Traffic Collision - 1141 Rolling|0|2
92|33.746683|-118.00695|20120605 08:08|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
92|33.502538|-117.65828|20120608 08:37|I5|0|Capistrano|1125 - Traffic Hazard|0|2
93|33.787929|-117.880053|20120606 07:54|SR57|1|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
93|33.799957|-117.899013|20120607 08:17|I5|0|Westminster|1125 - Traffic Hazard|0|2
94|34.082212|-117.698222|20120623 01:28|I10|3|Rancho Cucamonga|1183 - Traffic Collision - No Details|0|2
94|33.698599|-117.861362|20120607 08:23|SR55|0|Santa Ana|1125 - Traffic Hazard|0|2
94|33.880709|-117.613082|20120611 02:48|SR91|3|Riverside|1125 - Traffic Hazard|0|2
94|33.924576|-117.992018|20120612 01:05|15902|130|Santa Fe Springs|20002 - Hit and Run - No Injuries|0|2
94|33.866788|-117.711472|20120601 07:45|SR91|2|Santa Ana|1183 - Traffic Collision - No Details|0|2
94|34.070363|-117.435717|20120614 03:22|SIERRA|130|Inland Communications Center|FIRE - Report of Fire|0|2
94|34.046727|-118.268676|20120614 01:22|I110|1|Central Los Angeles|1125 - Traffic Hazard|0|2
94|33.628343|-117.720274|20120604 07:56|I5|0|Capistrano|1125 - Traffic Hazard|0|2
94|34.066474|-117.226172|20120616 01:37|I10|2|San Bernardino|20002 - Hit and Run - No Injuries|0|2
95|33.708583|-117.851612|20120607 08:23|SR55|0|Santa Ana|20002 - Hit and Run - No Injuries|0|2
95|34.087422|-117.651069|20120611 02:51|I10|3|Rancho Cucamonga|1183 - Traffic Collision - No Details|0|2
95|34.066474|-117.226172|20120616 01:38|I10|2|San Bernardino|1125 - Traffic Hazard|0|2
95|34.164602|-117.333285|20120606 02:22|I215|0|San Bernardino|1183 - Traffic Collision - No Details|0|2
95|33.853981|-117.924209|20120606 07:56|SR91|3|Westminster|1182 - Traffic Collision - No Injuries|0|2
95|33.641985|-117.859613|20120601 07:46|SR73|0|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
95|33.925335|-117.879992|20120609 07:13|SR57|0|Santa Ana|1125 - Traffic Hazard|0|2
96|33.96009|-118.280682|20120614 01:22|I110|0|Central Los Angeles|WW - Wrong Way Driver|0|2
96|34.120463|-117.907596|20120621 01:09|I210|2|Baldwin Park|1125 - Traffic Hazard|0|2
96|33.701789|-117.954276|20120607 08:27|BROOKHURST|130|Orange County Communications Center|1182 - Traffic Collision - No Injuries|0|2
96|34.041455|-117.405075|20120607 04:27|8TH|130|San Bernardino|FIRE - Report of Fire|0|2
96|34.077634|-117.623517|20120611 02:52|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
96|33.806554|-117.906364|20120610 03:22|I5|1|Westminster|1179 - Traffic Collision - 1141 Rolling|0|2
96|33.669642|-117.822638|20120605 08:13|I405|0|Santa Ana|1183 - Traffic Collision - No Details|0|2
